country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Fertility rate, total (live births per woman)",Infant mortality rate (per 1000 live births),Health: Total expenditure (% of GDP),Education: Government expenditure (% of GDP),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)"
Aruba,Caribbean,180,105,584.8,90.4,2702,0.5,15.4,84.1,95,1117,-1022,1.8,14.8,-99,6.2,135.7,32,2.3,1,120
Australia,Oceania,7692060,24451,3.2,99.3,1230859,2.5,26.5,71.1,189630,189406,224,1.9,3.9,9.4,5.2,132.8,948,16.2,15282,222
Austria,WesternEurope,83871,8736,106,96.2,376967,1.3,28.3,70.4,145503,149299,-3795,1.4,3.3,11.2,5.5,157.4,118,46.9,505,158
Azerbaijan,WesternAsia,86600,9828,118.9,99.3,53049,6.7,49.9,43.4,9143,8532,611,2.1,31.4,6,2.6,111.3,97,13.5,2459,61
Bahamas,Caribbean,13940,395,39.5,95.9,8854,1.6,12.7,85.7,365,2904,-2539,1.8,9.1,7.7,...,80.3,86,51.4,0,90
Bahrain,WesternAsia,771,1493,1963.9,168.3,31126,0.3,40.7,59,12892,14749,-1856,2.1,6.9,5,2.7,185.3,36,0.8,961,413
Bangladesh,SouthernAsia,147570,164670,1265,101.7,194466,15.5,28.1,56.3,36031,52624,-16593,2.2,33.3,2.8,1.9,83.4,151,11,1438,11
Barbados,Caribbean,431,286,664.5,91.9,4385,1.7,12.1,86.2,517,1621,-1104,1.8,9.6,7.5,6.6,116.5,56,14.7,2,59
Belarus,EasternEurope,207600,9468,46.7,87,54609,7.5,38.9,53.6,23414,27464,-4050,1.6,3.6,5.7,4.9,123.6,25,42.5,155,122
Belgium,WesternEurope,30528,11429,377.5,97.3,455107,0.7,22.2,77.1,398033,372713,25321,1.8,3.5,10.6,6.6,115.7,37,22.6,520,196
Belize,CentralAmerica,22966,375,16.4,99.2,1721,14.6,18.5,66.9,246,952,-706,2.6,14.3,5.8,6.4,48.9,117,60.1,9,36
Benin,WesternAfrica,114763,11176,99.1,99.5,8476,23.2,24.9,51.9,410,2630,-2220,5.2,67.7,4.6,4.4,85.6,88,38.7,96,17
Bermuda,NorthernAmerica,53,61,1227,91.4,5853,0.7,5.3,94,8,971,-963,1.5,-99,-99,1.7,58,72,20,1,136
Bhutan,SouthernAsia,38394,808,21.2,113.1,2074,17.2,43.9,38.8,616,1688,-1072,2.2,30.5,3.6,7.4,87.1,71,72,75,82
